iWine,Barcode,Location,Bin,Size,Currency,ExchangeRate,Valuation,Price,NativePrice,NativePriceCurrency,StoreName,PurchaseDate,BottleNote,Vintage,Wine,Locale,Country,Region,SubRegion,Appellation,Producer,SortProducer,Type,Color,Category,Varietal,MasterVarietal,Designation,Vineyard,WA,WS,IWC,BH,AG,WE,JR,RH,JG,GV,JK,LD,CW,WFW,PR,SJ,WD,RR,JH,MFW,WWR,IWR,CHG,TT,TWF,DR,FP,JM,PG,WAL,JS,CT,CNotes,MY,PNotes,BeginConsume,EndConsume,PurchasedCommunity,QuantityCommunity,PendingCommunity,ConsumedCommunity
5393439,206236841,Cellar,,750ml,USD,1,19.1387,20.0,20.0,USD,Costco,5/24/2025,,2023,Casa E. di Mirafiore Barbera d'Alba Superiore,"Italy, Piedmont, Alba, Barbera d'Alba Superiore",Italy,Piedmont,Alba,Barbera d'Alba Superiore,Casa E. di Mirafiore,Casa E. di Mirafiore,Red,Red,Dry,Barbera,Barbera,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2026.0,2030.0,7,5,0,2
4967402,215923207,Cellar,,750ml,USD,1,8.4219,14.0,14.0,USD,Costco,1/12/2026,,2021,Consulvinus Spyland,Portugal,Portugal,Portugal,Unknown,Unknown,Consulvinus,Consulvinus,Red,Red,Dry,Red Blend,Red Blend,Spyland,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.8333333333333,7,,,2025.0,2025.0,114,52,0,62
4736717,215923264,Cellar,,750ml,USD,1,33.7237,25.0,25.0,USD,Costco,1/12/2026,,2021,Daou Vineyards The Bodyguard,"USA, California, Central Coast, Paso Robles",USA,California,Central Coast,Paso Robles,Daou Vineyards,Daou Vineyards,Red,Red,Dry,Red Blend,Red Blend,The Bodyguard,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.125,10,,,2025.0,2029.0,468,255,0,213
5049324,210695867,Cellar,,750ml,USD,1,11.5008,4.97,4.97,USD,Costco,9/20/2025,,2019,Ego Bodegas Jumilla El Gorú Gold - Mad Hairy Fella,"Spain, Murcia, Jumilla",Spain,Murcia,Unknown,Jumilla,Ego Bodegas,Ego Bodegas,Red,Red,Dry,Red Blend,Red Blend,El Gorú Gold - Mad Hairy Fella,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,4,,,2024.0,2029.0,125,63,0,62
5049324,210695868,Cellar,,750ml,USD,1,11.5008,4.97,4.97,USD,Costco,9/20/2025,,2019,Ego Bodegas Jumilla El Gorú Gold - Mad Hairy Fella,"Spain, Murcia, Jumilla",Spain,Murcia,Unknown,Jumilla,Ego Bodegas,Ego Bodegas,Red,Red,Dry,Red Blend,Red Blend,El Gorú Gold - Mad Hairy Fella,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,4,,,2024.0,2029.0,125,63,0,62
5049324,209493130,Cellar,,750ml,USD,1,11.5008,10.0,10.0,USD,Costco,8/17/2025,,2019,Ego Bodegas Jumilla El Gorú Gold - Mad Hairy Fella,"Spain, Murcia, Jumilla",Spain,Murcia,Unknown,Jumilla,Ego Bodegas,Ego Bodegas,Red,Red,Dry,Red Blend,Red Blend,El Gorú Gold - Mad Hairy Fella,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,4,,,2024.0,2029.0,125,63,0,62
5121353,207396689,Cellar,,750ml,USD,1,9.2899,0.0,0.0,USD,Unknown,6/23/2025,,2019,Viña Eguía Rioja Kirkland Rioja Reserva,"Spain, La Rioja, Rioja",Spain,La Rioja,Unknown,Rioja,Viña Eguía,"Eguía, Viña ",Red,Red,Dry,Tempranillo,Tempranillo,Kirkland Rioja Reserva,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2025.0,2027.0,6,5,0,1
4510614,212197295,Cellar,,750ml,USD,1,5.2468,5.0,5.0,USD,Costco,10/25/2025,,2021,Bodegas Esteban Martin Garnacha Syrah,"Spain, Aragón, Cariñena",Spain,Aragón,Unknown,Cariñena,Bodegas Esteban Martin,"Esteban Martin, Bodegas ",Red,Red,Dry,Red Rhone Blend,Red Rhone Blend,Garnacha Syrah,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.1147540983606,63,,,2023.0,2026.0,1542,654,0,888
5418091,210884701,Cellar,,750ml,USD,1,7.995,5.0,5.0,USD,Costco,9/24/2025,,2024,Louis Fabre Côtes de Provence Rosé,"France, Provence, Côtes de Provence",France,Provence,Unknown,Côtes de Provence,Louis Fabre,"Fabre, Louis ",Rosé,Rosé,Dry,Rosé Blend,Rosé Blend,Rosé,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2025.0,2026.0,17,8,0,9
5418091,210884702,Cellar,,750ml,USD,1,7.995,5.0,5.0,USD,Costco,9/24/2025,,2024,Louis Fabre Côtes de Provence Rosé,"France, Provence, Côtes de Provence",France,Provence,Unknown,Côtes de Provence,Louis Fabre,"Fabre, Louis ",Rosé,Rosé,Dry,Rosé Blend,Rosé Blend,Rosé,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2025.0,2026.0,17,8,0,9
5418091,210884703,Cellar,,750ml,USD,1,7.995,5.0,5.0,USD,Costco,9/24/2025,,2024,Louis Fabre Côtes de Provence Rosé,"France, Provence, Côtes de Provence",France,Provence,Unknown,Côtes de Provence,Louis Fabre,"Fabre, Louis ",Rosé,Rosé,Dry,Rosé Blend,Rosé Blend,Rosé,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2025.0,2026.0,17,8,0,9
5458447,208835356,Cellar,,750ml,USD,1,15.2087,13.0,13.0,USD,Costco,8/2/2025,,2023,Gabrielle Ashley Cabernet Sauvignon,"USA, California, Sonoma County, Alexander Valley",USA,California,Sonoma County,Alexander Valley,Gabrielle Ashley,Gabrielle Ashley,Red,Red,Dry,Cabernet Sauvignon,Cabernet Sauvignon,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,1,,,2025.0,2031.0,56,44,0,12
5388148,210884726,Cellar,,750ml,USD,1,7.25,4.0,4.0,USD,Costco,9/24/2025,,2022,Gen5 Pinot Noir,"USA, California, Central Valley, Lodi",USA,California,Central Valley,Lodi,Gen5,Gen5,Red,Red,Dry,Pinot Noir,Pinot Noir,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,3,,,,,51,19,0,32
4688410,210164663,Cellar,,750ml,USD,1,15.3512,14.0,14.0,USD,Costco,9/7/2025,,2021,Headline Pinot Noir,"USA, California, Sonoma County, Sonoma Coast",USA,California,Sonoma County,Sonoma Coast,Headline,Headline,Red,Red,Dry,Pinot Noir,Pinot Noir,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.25,4,,,2024.0,2026.0,81,32,0,49
5093902,210696045,Cellar,,750ml,USD,1,20.4433,19.99,19.99,USD,Costco,9/20/2025,,1001,Joto Yuzu,"Japan, Ch&#363;goku, Yamaguchi",Japan,Ch&#363;goku,Yamaguchi,Unknown,Joto,Joto,Sake,White,Brewed,Rice,Rice,Yuzu,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,2,,,2023.0,2025.0,22,17,0,5
5033676,194649213,Cellar,,750ml,USD,1,20.7356,0.0,0.0,USD,Unknown,8/11/2024,,2020,Kirkland Signature Barolo,"Italy, Piedmont, Langhe, Barolo",Italy,Piedmont,Langhe,Barolo,Kirkland Signature,Kirkland Signature,Red,Red,Dry,Nebbiolo,Nebbiolo,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.3392857142857,62,,,2025.0,2031.0,1769,1037,0,732
5019722,212197331,Cellar,,750ml,USD,1,20.1914,20.0,20.0,USD,Costco,10/25/2025,,2021,Kirkland Signature Barolo,"Italy, Piedmont, Langhe, Barolo",Italy,Piedmont,Langhe,Barolo,Kirkland Signature,Kirkland Signature,Red,Red,Dry,Nebbiolo,Nebbiolo,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.2,44,,,2027.0,2032.0,1574,1131,1,442
5112462,196431055,Cellar,,750ml,USD,1,21.641,20.0,20.0,USD,Costco,10/3/2024,,2019,Kirkland Signature Brunello di Montalcino,"Italy, Tuscany, Montalcino, Brunello di Montalcino",Italy,Tuscany,Montalcino,Brunello di Montalcino,Kirkland Signature,Kirkland Signature,Red,Red,Dry,Sangiovese,Sangiovese,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.2352941176471,36,,,2025.0,2030.0,808,485,0,323
5200686,212587261,Cellar,,750ml,USD,1,22.4245,23.0,23.0,USD,Costco,11/3/2025,,2023,Kirkland Signature Chablis 1er Cru,"France, Burgundy, Chablis, Chablis 1er Cru",France,Burgundy,Chablis,Chablis 1er Cru,Kirkland Signature,Kirkland Signature,White,White,Dry,Chardonnay,Chardonnay,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8823529411765,19,,,2025.0,2028.0,531,424,3,104
5321918,207303487,Cellar,,750ml,USD,1,8.6678,8.0,8.0,USD,Costco,6/21/2025,,2024,Kirkland Signature Côtes de Provence Rosé,"France, Provence, Côtes de Provence",France,Provence,Unknown,Côtes de Provence,Kirkland Signature,Kirkland Signature,Rosé,Rosé,Dry,Rosé Blend,Rosé Blend,Rosé,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.08,29,,,2024.0,2026.0,727,224,0,503
5321918,208028757,Cellar,,750ml,USD,1,8.6678,0.0,0.0,USD,Unknown,7/11/2025,,2024,Kirkland Signature Côtes de Provence Rosé,"France, Provence, Côtes de Provence",France,Provence,Unknown,Côtes de Provence,Kirkland Signature,Kirkland Signature,Rosé,Rosé,Dry,Rosé Blend,Rosé Blend,Rosé,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.08,29,,,2024.0,2026.0,727,224,0,503
5455020,212252418,Cellar,,750ml,USD,1,7.4316,7.5,7.5,USD,Costco,10/27/2025,,2024,Kirkland Signature Côtes du Rhône Villages,"France, Rhône, Southern Rhône, Côtes du Rhône Villages",France,Rhône,Southern Rhône,Côtes du Rhône Villages,Kirkland Signature,Kirkland Signature,Red,Red,Dry,Red Rhone Blend,Red Rhone Blend,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.7391304347826,23,,,2025.0,2027.0,802,486,0,316
5455020,212252419,Cellar,,750ml,USD,1,7.4316,7.5,7.5,USD,Costco,10/27/2025,,2024,Kirkland Signature Côtes du Rhône Villages,"France, Rhône, Southern Rhône, Côtes du Rhône Villages",France,Rhône,Southern Rhône,Côtes du Rhône Villages,Kirkland Signature,Kirkland Signature,Red,Red,Dry,Red Rhone Blend,Red Rhone Blend,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.7391304347826,23,,,2025.0,2027.0,802,486,0,316
5455020,212252420,Cellar,,750ml,USD,1,7.4316,7.5,7.5,USD,Costco,10/27/2025,,2024,Kirkland Signature Côtes du Rhône Villages,"France, Rhône, Southern Rhône, Côtes du Rhône Villages",France,Rhône,Southern Rhône,Côtes du Rhône Villages,Kirkland Signature,Kirkland Signature,Red,Red,Dry,Red Rhone Blend,Red Rhone Blend,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.7391304347826,23,,,2025.0,2027.0,802,486,0,316
5530377,212252494,Cellar,,750ml,USD,1,20.0917,20.0,20.0,USD,Costco,10/27/2025,,2023,Kirkland Signature Margaux,"France, Bordeaux, Médoc, Margaux",France,Bordeaux,Médoc,Margaux,Kirkland Signature,Kirkland Signature,Red,Red,Dry,Red Bordeaux Blend,Red Bordeaux Blend,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.8695652173913,24,,,2026.0,2031.0,785,640,4,141
5495151,212197035,Cellar,,750ml,USD,1,11.1631,11.0,11.0,USD,Costco,10/25/2025,,2024,Kirkland Signature Pinot Noir Russian River Valley,"USA, California, Sonoma County, Russian River Valley",USA,California,Sonoma County,Russian River Valley,Kirkland Signature,Kirkland Signature,Red,Red,Dry,Pinot Noir,Pinot Noir,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7777777777778,9,,,2026.0,2028.0,338,200,0,138
5138285,208402559,Cellar,,750ml,USD,1,7.3657,0.0,0.0,USD,Unknown,7/22/2025,,2024,Kirkland Signature Sauvignon Blanc Ti Point,"New Zealand, South Island, Marlborough",New Zealand,South Island,Marlborough,Marlborough,Kirkland Signature,Kirkland Signature,White,White,Dry,Sauvignon Blanc,Sauvignon Blanc,Unknown,Ti Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.3684210526316,78,,,2024.0,2025.0,2135,784,0,1351
5407291,209493001,Cellar,,750ml,USD,1,17.1116,0.0,0.0,USD,Costco,8/17/2025,,2022,Kirkland Signature St. Émilion Grand Cru,"France, Bordeaux, Libournais, St. Émilion Grand Cru",France,Bordeaux,Libournais,St. Émilion Grand Cru,Kirkland Signature,Kirkland Signature,Red,Red,Dry,Red Bordeaux Blend,Red Bordeaux Blend,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.925,42,,,2025.0,2031.0,940,626,0,314
5407291,209493002,Cellar,,750ml,USD,1,17.1116,0.0,0.0,USD,Costco,8/17/2025,,2022,Kirkland Signature St. Émilion Grand Cru,"France, Bordeaux, Libournais, St. Émilion Grand Cru",France,Bordeaux,Libournais,St. Émilion Grand Cru,Kirkland Signature,Kirkland Signature,Red,Red,Dry,Red Bordeaux Blend,Red Bordeaux Blend,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.925,42,,,2025.0,2031.0,940,626,0,314
5020614,194649234,Cellar,,750ml,USD,1,12.0962,0.0,0.0,USD,Unknown,8/11/2024,,2022,Kirkland Signature Vacqueyras,"France, Rhône, Southern Rhône, Vacqueyras",France,Rhône,Southern Rhône,Vacqueyras,Kirkland Signature,Kirkland Signature,Red,Red,Dry,Red Rhone Blend,Red Rhone Blend,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0340909090909,93,92.0,1.0,2024.0,2026.0,1175,466,0,709
5080659,210695943,Cellar,,750ml,USD,1,15.5519,13.99,13.99,USD,Costco,9/20/2025,,2023,Domaine Maby Tavel Rosé La Forcadière,"France, Rhône, Southern Rhône, Tavel",France,Rhône,Southern Rhône,Tavel,Domaine Maby,"Maby, Domaine ",Rosé,Rosé,Dry,Red Rhone Blend,Red Rhone Blend,Rosé La Forcadière,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,2,,,2024.0,2026.0,54,36,0,18
4746476,215923188,Cellar,,750ml,USD,1,8.1905,7.0,7.0,USD,Costco,1/12/2026,,2021,Bodegas Manzanos Cabernet Sauvignon 111,"Spain, Navarra",Spain,Navarra,Unknown,Navarra,Bodegas Manzanos,"Manzanos, Bodegas ",Red,Red,Dry,Cabernet Sauvignon,Cabernet Sauvignon,111,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,17,,,2024.0,2026.0,316,174,0,142
4746476,215923189,Cellar,,750ml,USD,1,8.1905,7.0,7.0,USD,Costco,1/12/2026,,2021,Bodegas Manzanos Cabernet Sauvignon 111,"Spain, Navarra",Spain,Navarra,Unknown,Navarra,Bodegas Manzanos,"Manzanos, Bodegas ",Red,Red,Dry,Cabernet Sauvignon,Cabernet Sauvignon,111,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,17,,,2024.0,2026.0,316,174,0,142
5155397,210884745,Cellar,,750ml,USD,1,14.7462,5.0,5.0,USD,Costco,9/24/2025,,2022,Matchbook Chardonnay The Arsonist,"USA, California, Central Valley, Dunnigan Hills",USA,California,Central Valley,Dunnigan Hills,Matchbook,Matchbook,White,White,Dry,Chardonnay,Chardonnay,The Arsonist,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2024.0,2026.0,63,52,0,11
4256581,209492961,Cellar,,750ml,USD,1,6.9078,7.0,7.0,USD,Costco,8/20/2025,,2020,Château Montfollet Vieilles Vignes,"France, Bordeaux, Blaye Côtes de Bordeaux",France,Bordeaux,Unknown,Blaye Côtes de Bordeaux,Château Montfollet,"Montfollet, Château ",Red,Red,Dry,Red Bordeaux Blend,Red Bordeaux Blend,Vieilles Vignes,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,1,,,2025.0,2030.0,53,30,0,23
5176495,208402535,Cellar,,750ml,USD,1,13.0359,0.0,0.0,USD,Unknown,7/22/2025,,2022,Precision Wine Company Cabernet Sauvignon Method California,"USA, California",USA,California,Unknown,California,Precision Wine Company,Precision Wine Company,Red,Red,Dry,Cabernet Sauvignon,Cabernet Sauvignon,Method,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.4736842105263,19,,,2025.0,2028.0,950,667,0,283
4865164,210695838,Cellar,,750ml,USD,1,5.506,2.97,2.97,USD,Costco,9/20/2025,,2022,Ravasqueira Alentejo Guarda Rios Premium,"Portugal, Alentejano, Alentejo",Portugal,Alentejano,Alentejo,Alentejo,Ravasqueira,Ravasqueira,Red,Red,Dry,Red Blend,Red Blend,Guarda Rios Premium,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2024.0,2027.0,12,7,0,5
4865164,210695839,Cellar,,750ml,USD,1,5.506,2.97,2.97,USD,Costco,9/20/2025,,2022,Ravasqueira Alentejo Guarda Rios Premium,"Portugal, Alentejano, Alentejo",Portugal,Alentejano,Alentejo,Alentejo,Ravasqueira,Ravasqueira,Red,Red,Dry,Red Blend,Red Blend,Guarda Rios Premium,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2024.0,2027.0,12,7,0,5
4865164,210695840,Cellar,,750ml,USD,1,5.506,2.97,2.97,USD,Costco,9/20/2025,,2022,Ravasqueira Alentejo Guarda Rios Premium,"Portugal, Alentejano, Alentejo",Portugal,Alentejano,Alentejo,Alentejo,Ravasqueira,Ravasqueira,Red,Red,Dry,Red Blend,Red Blend,Guarda Rios Premium,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2024.0,2027.0,12,7,0,5
4865164,210695841,Cellar,,750ml,USD,1,5.506,2.97,2.97,USD,Costco,9/20/2025,,2022,Ravasqueira Alentejo Guarda Rios Premium,"Portugal, Alentejano, Alentejo",Portugal,Alentejano,Alentejo,Alentejo,Ravasqueira,Ravasqueira,Red,Red,Dry,Red Blend,Red Blend,Guarda Rios Premium,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2024.0,2027.0,12,7,0,5
5060671,210695900,Cellar,,750ml,USD,1,7.1546,3.97,3.97,USD,Costco,9/20/2025,,2021,Bodegas Sierra Salinas Mo,"Spain, Valencia, Alicante",Spain,Valencia,Unknown,Alicante,Bodegas Sierra Salinas,"Sierra Salinas, Bodegas ",Red,Red,Dry,Monastrell,Mourvèdre,Mo,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2024.0,2030.0,58,35,0,23
5060671,210695901,Cellar,,750ml,USD,1,7.1546,3.97,3.97,USD,Costco,9/20/2025,,2021,Bodegas Sierra Salinas Mo,"Spain, Valencia, Alicante",Spain,Valencia,Unknown,Alicante,Bodegas Sierra Salinas,"Sierra Salinas, Bodegas ",Red,Red,Dry,Monastrell,Mourvèdre,Mo,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2024.0,2030.0,58,35,0,23
5060671,210695902,Cellar,,750ml,USD,1,7.1546,3.97,3.97,USD,Costco,9/20/2025,,2021,Bodegas Sierra Salinas Mo,"Spain, Valencia, Alicante",Spain,Valencia,Unknown,Alicante,Bodegas Sierra Salinas,"Sierra Salinas, Bodegas ",Red,Red,Dry,Monastrell,Mourvèdre,Mo,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2024.0,2030.0,58,35,0,23
5060671,210695903,Cellar,,750ml,USD,1,7.1546,3.97,3.97,USD,Costco,9/20/2025,,2021,Bodegas Sierra Salinas Mo,"Spain, Valencia, Alicante",Spain,Valencia,Unknown,Alicante,Bodegas Sierra Salinas,"Sierra Salinas, Bodegas ",Red,Red,Dry,Monastrell,Mourvèdre,Mo,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2024.0,2030.0,58,35,0,23
4614996,209493193,Cellar,,750ml,USD,1,10.63,7.0,7.0,USD,Costco,8/17/2025,,2021,Trapiche Cabernet Sauvignon Broquel,"Argentina, Mendoza",Argentina,Mendoza,Unknown,Unknown,Trapiche,Trapiche,Red,Red,Dry,Cabernet Sauvignon,Cabernet Sauvignon,Broquel,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,3,,,2025.0,2027.0,13,5,0,8
4660944,208835402,Cellar,,750ml,USD,1,17.0362,15.0,15.0,USD,Costco,8/2/2025,,2022,Umani Ronchi Verdicchio dei Castelli di Jesi Classico Superiore Casal di Serra,"Italy, Marche, Verdicchio dei Castelli di Jesi Classico Superiore",Italy,Marche,Unknown,Verdicchio dei Castelli di Jesi Classico Superiore,Umani Ronchi,Umani Ronchi,White,White,Dry,Verdicchio,Verdicchio,Casal di Serra,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.8148148148148,28,91.0,1.0,2023.0,2027.0,277,104,0,173
4877897,209493083,Cellar,,750ml,USD,1,16.8033,15.0,15.0,USD,Costco,8/20/2025,,2022,Bodegas Vatan Tinta de Toro Triton Old Vines,"Spain, Castilla y León, Toro",Spain,Castilla y León,Unknown,Toro,Bodegas Vatan,"Vatan, Bodegas ",Red,Red,Dry,Tinta de Toro,Tempranillo,Triton Old Vines,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.7,11,,,2026.0,2032.0,142,72,2,68
4997873,209492907,Cellar,,750ml,USD,1,17.0195,15.0,15.0,USD,Costco,8/20/2025,,2022,Villota Rioja Selvanevada Tinto,"Spain, La Rioja, La Rioja Alavesa, Rioja",Spain,La Rioja,La Rioja Alavesa,Rioja,Villota,Villota,Red,Red,Dry,Tempranillo Blend,Tempranillo,Selvanevada Tinto,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.3333333333333,5,,,,2027.0,84,45,0,39
4944559,210164532,Cellar,,750ml,USD,1,10.7218,9.0,9.0,USD,Costco,9/7/2025,,2021,Vinícola Navarra Navarra,"Spain, Navarra",Spain,Navarra,Unknown,Navarra,Vinícola Navarra,Vinícola Navarra,Red,Red,Dry,Cabernet Sauvignon,Cabernet Sauvignon,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,37,23,0,14
4608072,212587300,Cellar,,750ml,USD,1,18.896,16.0,16.0,USD,Costco,11/3/2025,,1001,Zaha Calcaire Cuvée Reserve Blanc de Blancs,Argentina,Argentina,Argentina,Unknown,Unknown,Zaha,Zaha,White - Sparkling,White,Sparkling,Chardonnay,Chardonnay,Calcaire Cuvée Reserve Blanc de Blancs,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.6666666666667,5,,,,,58,32,0,26
